input_itemid,rank,product_itemid,product_category,product_name,avg_price,avg_discount,like_count,comment_count,product_views,avg_rating,units_sold
3052625282,5,7658961697,Short Sleeves,korean fashion knitted blouse knitted top shortsleeve,300.0,67.0,80,160,1060,4.93,419
3052625282,6,7563770506,Long Sleeves,Chiffon Korean-Style off-Shoulder Long Sleeve Tops Ribbon Crop Shirt Classic Plain Color Blouse,480.0,41.0,4636,635,20093,4.93,1318
3052625282,7,7512307289,Long Sleeves,Ready stock Korean Office Lady Casual Women Short Sleeve Ruffle Chiffon Blouse Korean top,250.0,26.0,3497,2328,26053,4.78,7212
3064203236,1,7582713454,Long Sleeves,Kathryn Korean Trend Long Sleeve Croptop 11176#,299.0,77.0,11031,1338,120161,4.83,3478
3064203236,2,7641709091,Short Sleeves,korean fashion knitted blouse MICKEY top shortsleeve,199.0,67.0,101,35,340,4.83,76
3064203236,3,7635156435,Long Sleeves,COD & Ready stock Korean Top Fashion Square Collar Sexy Tops Pleated Small Floral Print Chiffon Croptop oversized shirt,515.0,56.0,456,259,878,4.88,671
3064203236,4,7589366746,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,18.0,23,11,1452,5.0,112
3064203236,5,7547854794,Top,Korean Style Casual Shirt Black White Men's Shirts Harajuku Men Autumn New Loose Long Sleeve Shirt Tops Streetwear Man Oversized Blouse,399.0,20.0,305,43,444,4.74,74
3064203236,6,7563770506,Long Sleeves,Chiffon Korean-Style off-Shoulder Long Sleeve Tops Ribbon Crop Shirt Classic Plain Color Blouse,480.0,41.0,4636,635,20093,4.93,1318
3064203236,7,7512307289,Long Sleeves,Ready stock Korean Office Lady Casual Women Short Sleeve Ruffle Chiffon Blouse Korean top,250.0,26.0,3497,2328,26053,4.78,7212
3101205883,1,7582713454,Long Sleeves,Kathryn Korean Trend Long Sleeve Croptop 11176#,299.0,77.0,11031,1338,120161,4.83,3478
3101205883,2,7547854794,Top,Korean Style Casual Shirt Black White Men's Shirts Harajuku Men Autumn New Loose Long Sleeve Shirt Tops Streetwear Man Oversized Blouse,399.0,20.0,305,43,444,4.74,74
3101205883,3,7641709091,Short Sleeves,korean fashion knitted blouse MICKEY top shortsleeve,199.0,67.0,101,35,340,4.83,76
3101205883,4,7635156435,Long Sleeves,COD & Ready stock Korean Top Fashion Square Collar Sexy Tops Pleated Small Floral Print Chiffon Croptop oversized shirt,515.0,56.0,456,259,878,4.88,671
3101205883,5,7589366746,Short Sleeves,korean fashion knitted Round neck blouse top short sleeves,300.0,18.0,23,11,1452,5.0,112
3101205883,6,7664397492,Long Sleeves,Fashion Women Floral Blouse Korean Top Chiffon Casual Printed V Neck Shirts Puff Long Sleeve Tops Women's Blouse Chiffon Long Sleeves Blouses,523.0,82.0,2605,452,21842,4.815,981
